842739,70,80,68.61,65
842741,70,70,66.69,70
842757,75,80,67.23,70
842767,70,80,67.79,73
842768,60,65,66.58,60
842772,70,77,62.02,63
842792,71,80,62,63
842805,66,73,64.91,75
842808,75,82,69.55,84
842809,64,72,60.4,60
842810,60,73,65,70
842811,70,80,68,70
842812,70,80,70.8,67
842813,63,80,70,64
842814,71,80,69.28,74
842815,60,75,70.5,70
842816,70,80,66.98,67
842817,64,71,60,66
842818,62,72,68.02,63
842819,61,76,64.9,70
842820,64,70,71.04,71
842821,63,72,66.37,71
842822,66,75,81.28,80
842827,70,74,67.61,80
842868,64,72,81.7,62
842451,75,70,61.66,76
842453,67,67,63.45,70
842454,88,70,71.35,86
842496,81,70,0,84
842498,80,72,74.7,80
842508,81,82,60.7,76
842509,67,65,65,74
842525,72,80,62.13,82
842589,66,60,79.2,64
842590,83,70,63.57,87
842611,70,67,60.71,71
842621,71,80,70,70
842622,80,77,77.33,71
842624,81,74,60,72
842631,84,67,87.75,74
842637,71,78,67.77,61
842641,83,71,65.7,80
842647,81,72,77.9,77
842656,86,74,68.8,87
842658,65,61,80.03,60
842659,76,76,77.6,64
842660,77,70,66.9,77
842663,80,73,62.3,84
842674,84,81,65.22,87
842693,73,67,76.2,61
842701,66,74,82.4,77
842714,82,67,75.3,78
842715,81,65,60.44,81
842723,74,70,69.1,70
842724,88,83,66,81
842725,77,73,70.07,75
842828,80,82,67.54,74
842848,70,70,69.18,70
842849,71,67,66,66
842850,64,64,74.2,60
843655,65,60,74.8,60
843540,60,74,66.12,61
843548,60,70,67,62
843710,60,68,76.09,70
843695,63,64,68.04,68
843531,64,60,68.96,60
843584,64,60,76.2,60
843542,65,65,76.15,64
843662,65,67,69.74,60
843569,66,68,73.47,70
843448,67,60,60.54,68
843483,67,62,72.11,71
843476,67,71,73.1,80
843617,67,62,73,60
843669,67,66,78,65
843581,67,60,76.3,61
843566,68,66,60.75,74
843454,70,60,65,66
843488,70,72,74.08,70
843496,70,60,72.5,60
843711,70,70,77.6,66
843648,71,73,64.67,60
843460,72,70,74.29,73
843444,72,67,79.89,76
843447,73,65,67.9,71
843553,73,65,63.46,63
843519,75,62,75.06,63
843512,76,60,76.01,66
843727,76,73,70,62
843459,76,72,70.2,71
843713,78,73,70.6,65
843533,78,77,75.3,83
843481,80,64,65.1,70
843470,80,60,73.41,72
843522,80,60,64.11,70
843674,80,78,75.18,82
843667,80,76,81,62
